Accord;Notes;Description
C;C - E - G;C majeur, est compose d'une tierce majeure et d'une quinte juste
Cm;C - Eb - G;C mineur, est compose d'une tierce mineure et d'une quinte juste
C7;C - E - G - Bb;C 7eme, est compose d'une tierce majeure, d'une quinte juste et d'une septieme mineure
Cm7;C - Eb - G - Bb;C mineur 7eme, est compose d'une tierce mineure, d'une quinte juste et d'une septieme mineure
CMaj7;C - E - G - B;C mineur, est compose d'une tierce mineure et d'une quinte juste
CmM7;C - Eb - G - B;C mineur, est compose d'une tierce mineure et d'une quinte juste
C6;C - E - G - A;C sixte, est compose d'une tierce majeure, d'une quinte juste et d'une sixte majeure
Cm6;C - Eb - G - A;C mineur sixte, est compose d'une tierce mineure, d'une quinte juste et d'une sixte majeure
C6/9;C - E - G - A - D;C sixte et neuvieme, est compose d'une tierce majeure, d'une quinte juste, d'une sixte majeure et d'une neuvieme majeure
C5;C -  G;C quinte juste, est compose uniquement de la fondamentale et de la quinte juste
C9;C - E - G - Bb - D;C majeur, est compose d'une tierce majeure et d'une quinte juste
Cm9;C - Eb - G - Bb - D;C mineur neuvieme, est compose d'une tierce mineure, d'une quinte juste, d'une septieme mineure et d'une neuvieme majeure
CMaj9;C - E - G - B - D;C mineur, est compose d'une tierce mineure et d'une quinte juste
C11;C - E - G - Bb - D - F;C majeur, est compose d'une tierce majeure et d'une quinte juste
Cm11;C - Eb - G - Bb - D - F;C mineur onzieme, est compose d'une tierce mineure, d'une quinte juste, d'une septieme mineure et d'une onzieme juste
CMaj11;C - E - G - B - D - F;C mineur, est compose d'une tierce mineure et d'une quinte juste
C13;C - E - G - Bb - D - F - A;C majeur, est compose d'une tierce majeure et d'une quinte juste
Cm13;C - Eb - G - Bb - D - F - A;C mineur treizieme, est compose d'une tierce mineure, d'une quinte juste, d'une septieme mineure et d'une treizieme majeure
CMaj13;C - E - G - B - D - A;C mineur, est compose d'une tierce mineure et d'une quinte juste
Cadd;C - E - G - D;C add, est compose d'une tierce majeure, d'une quinte juste et d'une note ajoutee (ex. 2, 4 ou 6)
C7-5;C - E - Gb - Bb;C septieme quinte diminuee, est compose d'une tierce majeure, d'une quinte diminuee et d'une septieme mineure
C7+5;C - E - G# - Bb;C septieme quinte augmentee, est compose d'une tierce majeure, d'une quinte augmentee et d'une septieme mineure
Csus;C - F - G;C suspendu, est compose de la fondamentale, de la quarte juste et de la quinte juste
Cdim;C -  Eb - Gb;C diminue, est compose d'une tierce mineure et d'une quinte diminuee
Cdim7;C - Eb - Gb - A;C diminue septieme, est compose d'une tierce mineure, d'une quinte diminuee et d'une septieme diminuee
